Name,Date,Time,URL,Category,Probability,Color
srh_I_2022-03-17T02:59:30_6200.fit,2022-03-17,02:59:30,https://ftp.rao.istp.ac.ru/SRH/SRH0612/cleanMaps/20220317/srh_I_2022-03-17T02:59:30_6200.fit,Ok,1,red
srh_I_2022-03-17T03:11:32_6200.fit,2022-03-17,03:11:32,https://ftp.rao.istp.ac.ru/SRH/SRH0612/cleanMaps/20220317/srh_I_2022-03-17T03:11:32_6200.fit,Ok,1,red
srh_I_2022-03-17T02:32:10_6200.fit,2022-03-17,02:32:10,https://ftp.rao.istp.ac.ru/SRH/SRH0612/cleanMaps/20220317/srh_I_2022-03-17T02:32:10_6200.fit,Ok,1,red
srh_I_2022-03-17T02:17:57_6200.fit,2022-03-17,02:17:57,https://ftp.rao.istp.ac.ru/SRH/SRH0612/cleanMaps/20220317/srh_I_2022-03-17T02:17:57_6200.fit,Ok,1,red
srh_I_2022-03-17T03:20:16_6200.fit,2022-03-17,03:20:16,https://ftp.rao.istp.ac.ru/SRH/SRH0612/cleanMaps/20220317/srh_I_2022-03-17T03:20:16_6200.fit,Bad,1,green
srh_I_2022-03-17T03:26:50_6200.fit,2022-03-17,03:26:50,https://ftp.rao.istp.ac.ru/SRH/SRH0612/cleanMaps/20220317/srh_I_2022-03-17T03:26:50_6200.fit,Ok,1,red
srh_I_2022-03-17T02:11:24_6200.fit,2022-03-17,02:11:24,https://ftp.rao.istp.ac.ru/SRH/SRH0612/cleanMaps/20220317/srh_I_2022-03-17T02:11:24_6200.fit,Ok,1,red
srh_I_2022-03-17T03:14:48_6200.fit,2022-03-17,03:14:48,https://ftp.rao.istp.ac.ru/SRH/SRH0612/cleanMaps/20220317/srh_I_2022-03-17T03:14:48_6200.fit,Ok,1,red
srh_I_2022-03-17T03:23:33_6200.fit,2022-03-17,03:23:33,https://ftp.rao.istp.ac.ru/SRH/SRH0612/cleanMaps/20220317/srh_I_2022-03-17T03:23:33_6200.fit,Ok,1,red
srh_I_2022-03-17T03:41:03_6200.fit,2022-03-17,03:41:03,https://ftp.rao.istp.ac.ru/SRH/SRH0612/cleanMaps/20220317/srh_I_2022-03-17T03:41:03_6200.fit,Ok,1,red
srh_I_2022-03-17T02:29:59_6200.fit,2022-03-17,02:29:59,https://ftp.rao.istp.ac.ru/SRH/SRH0612/cleanMaps/20220317/srh_I_2022-03-17T02:29:59_6200.fit,Ok,1,red
srh_I_2022-03-17T02:47:28_6200.fit,2022-03-17,02:47:28,https://ftp.rao.istp.ac.ru/SRH/SRH0612/cleanMaps/20220317/srh_I_2022-03-17T02:47:28_6200.fit,Ok,1,red
srh_I_2022-03-17T03:02:47_6200.fit,2022-03-17,03:02:47,https://ftp.rao.istp.ac.ru/SRH/SRH0612/cleanMaps/20220317/srh_I_2022-03-17T03:02:47_6200.fit,Ok,1,red
srh_I_2022-03-17T06:56:47_6200.fit,2022-03-17,06:56:47,https://ftp.rao.istp.ac.ru/SRH/SRH0612/cleanMaps/20220317/srh_I_2022-03-17T06:56:47_6200.fit,Ok,1,red
srh_I_2022-03-17T05:08:31_6200.fit,2022-03-17,05:08:31,https://ftp.rao.istp.ac.ru/SRH/SRH0612/cleanMaps/20220317/srh_I_2022-03-17T05:08:31_6200.fit,Bad,1,green
srh_I_2022-03-17T05:13:59_6200.fit,2022-03-17,05:13:59,https://ftp.rao.istp.ac.ru/SRH/SRH0612/cleanMaps/20220317/srh_I_2022-03-17T05:13:59_6200.fit,Bad,1,green
srh_I_2022-03-17T05:17:16_6200.fit,2022-03-17,05:17:16,https://ftp.rao.istp.ac.ru/SRH/SRH0612/cleanMaps/20220317/srh_I_2022-03-17T05:17:16_6200.fit,Bad,1,green
srh_I_2022-03-17T05:53:21_6200.fit,2022-03-17,05:53:21,https://ftp.rao.istp.ac.ru/SRH/SRH0612/cleanMaps/20220317/srh_I_2022-03-17T05:53:21_6200.fit,Bad,1,green
srh_I_2022-03-17T06:02:06_6200.fit,2022-03-17,06:02:06,https://ftp.rao.istp.ac.ru/SRH/SRH0612/cleanMaps/20220317/srh_I_2022-03-17T06:02:06_6200.fit,Bad,1,green
srh_I_2022-03-17T06:38:11_6200.fit,2022-03-17,06:38:11,https://ftp.rao.istp.ac.ru/SRH/SRH0612/cleanMaps/20220317/srh_I_2022-03-17T06:38:11_6200.fit,Ok,1,red
srh_I_2022-03-17T06:50:14_6200.fit,2022-03-17,06:50:14,https://ftp.rao.istp.ac.ru/SRH/SRH0612/cleanMaps/20220317/srh_I_2022-03-17T06:50:14_6200.fit,Ok,1,red
srh_I_2022-03-17T06:32:43_6200.fit,2022-03-17,06:32:43,https://ftp.rao.istp.ac.ru/SRH/SRH0612/cleanMaps/20220317/srh_I_2022-03-17T06:32:43_6200.fit,Ok,1,red
srh_I_2022-03-18T02:14:40_6200.fit,2022-03-18,02:14:40,https://ftp.rao.istp.ac.ru/SRH/SRH0612/cleanMaps/20220318/srh_I_2022-03-18T02:14:40_6200.fit,Ok,1,red
srh_I_2022-03-18T01:59:21_6200.fit,2022-03-18,01:59:21,https://ftp.rao.istp.ac.ru/SRH/SRH0612/cleanMaps/20220318/srh_I_2022-03-18T01:59:21_6200.fit,Ok,1,red
srh_I_2022-03-17T07:02:16_6200.fit,2022-03-17,07:02:16,https://ftp.rao.istp.ac.ru/SRH/SRH0612/cleanMaps/20220317/srh_I_2022-03-17T07:02:16_6200.fit,Ok,1,red
srh_I_2022-03-17T08:11:09_6200.fit,2022-03-17,08:11:09,https://ftp.rao.istp.ac.ru/SRH/SRH0612/cleanMaps/20220317/srh_I_2022-03-17T08:11:09_6200.fit,Ok,1,red
srh_I_2022-03-17T08:50:31_6200.fit,2022-03-17,08:50:31,https://ftp.rao.istp.ac.ru/SRH/SRH0612/cleanMaps/20220317/srh_I_2022-03-17T08:50:31_6200.fit,Ok,1,red
srh_I_2022-03-17T07:05:32_6200.fit,2022-03-17,07:05:32,https://ftp.rao.istp.ac.ru/SRH/SRH0612/cleanMaps/20220317/srh_I_2022-03-17T07:05:32_6200.fit,Ok,1,red
srh_I_2022-03-17T07:17:35_6200.fit,2022-03-17,07:17:35,https://ftp.rao.istp.ac.ru/SRH/SRH0612/cleanMaps/20220317/srh_I_2022-03-17T07:17:35_6200.fit,Ok,1,red
srh_I_2022-03-17T07:20:52_6200.fit,2022-03-17,07:20:52,https://ftp.rao.istp.ac.ru/SRH/SRH0612/cleanMaps/20220317/srh_I_2022-03-17T07:20:52_6200.fit,Bad,1,green
srh_I_2022-03-17T07:32:53_6200.fit,2022-03-17,07:32:53,https://ftp.rao.istp.ac.ru/SRH/SRH0612/cleanMaps/20220317/srh_I_2022-03-17T07:32:53_6200.fit,Ok,1,red
srh_I_2022-03-17T08:05:41_6200.fit,2022-03-17,08:05:41,https://ftp.rao.istp.ac.ru/SRH/SRH0612/cleanMaps/20220317/srh_I_2022-03-17T08:05:41_6200.fit,Bad,1,green
srh_I_2022-03-17T08:47:15_6200.fit,2022-03-17,08:47:15,https://ftp.rao.istp.ac.ru/SRH/SRH0612/cleanMaps/20220317/srh_I_2022-03-17T08:47:15_6200.fit,Bad,1,green
srh_I_2022-03-17T08:43:57_6200.fit,2022-03-17,08:43:57,https://ftp.rao.istp.ac.ru/SRH/SRH0612/cleanMaps/20220317/srh_I_2022-03-17T08:43:57_6200.fit,Ok,1,red
srh_I_2022-03-17T07:38:21_6200.fit,2022-03-17,07:38:21,https://ftp.rao.istp.ac.ru/SRH/SRH0612/cleanMaps/20220317/srh_I_2022-03-17T07:38:21_6200.fit,Ok,1,red
srh_I_2022-03-17T07:41:38_6200.fit,2022-03-17,07:41:38,https://ftp.rao.istp.ac.ru/SRH/SRH0612/cleanMaps/20220317/srh_I_2022-03-17T07:41:38_6200.fit,Ok,1,red
srh_I_2022-03-17T08:08:58_6200.fit,2022-03-17,08:08:58,https://ftp.rao.istp.ac.ru/SRH/SRH0612/cleanMaps/20220317/srh_I_2022-03-17T08:08:58_6200.fit,Ok,1,red
srh_I_2022-03-17T08:33:01_6200.fit,2022-03-17,08:33:01,https://ftp.rao.istp.ac.ru/SRH/SRH0612/cleanMaps/20220317/srh_I_2022-03-17T08:33:01_6200.fit,Ok,1,red
srh_I_2022-03-17T07:47:06_6200.fit,2022-03-17,07:47:06,https://ftp.rao.istp.ac.ru/SRH/SRH0612/cleanMaps/20220317/srh_I_2022-03-17T07:47:06_6200.fit,Ok,1,red
srh_I_2022-03-17T08:29:44_6200.fit,2022-03-17,08:29:44,https://ftp.rao.istp.ac.ru/SRH/SRH0612/cleanMaps/20220317/srh_I_2022-03-17T08:29:44_6200.fit,Ok,1,red
srh_I_2022-03-17T08:35:12_6200.fit,2022-03-17,08:35:12,https://ftp.rao.istp.ac.ru/SRH/SRH0612/cleanMaps/20220317/srh_I_2022-03-17T08:35:12_6200.fit,Ok,1,red
srh_I_2022-03-18T02:08:06_6200.fit,2022-03-18,02:08:06,https://ftp.rao.istp.ac.ru/SRH/SRH0612/cleanMaps/20220318/srh_I_2022-03-18T02:08:06_6200.fit,Ok,1,red
srh_I_2022-03-18T02:20:08_6200.fit,2022-03-18,02:20:08,https://ftp.rao.istp.ac.ru/SRH/SRH0612/cleanMaps/20220318/srh_I_2022-03-18T02:20:08_6200.fit,Ok,1,red
srh_I_2022-03-17T07:26:20_6200.fit,2022-03-17,07:26:20,https://ftp.rao.istp.ac.ru/SRH/SRH0612/cleanMaps/20220317/srh_I_2022-03-17T07:26:20_6200.fit,Ok,1,red
srh_I_2022-03-17T08:02:24_6200.fit,2022-03-17,08:02:24,https://ftp.rao.istp.ac.ru/SRH/SRH0612/cleanMaps/20220317/srh_I_2022-03-17T08:02:24_6200.fit,Ok,1,red
srh_I_2022-03-18T02:11:23_6200.fit,2022-03-18,02:11:23,https://ftp.rao.istp.ac.ru/SRH/SRH0612/cleanMaps/20220318/srh_I_2022-03-18T02:11:23_6200.fit,Ok,1,red
srh_I_2022-03-18T02:17:56_6200.fit,2022-03-18,02:17:56,https://ftp.rao.istp.ac.ru/SRH/SRH0612/cleanMaps/20220318/srh_I_2022-03-18T02:17:56_6200.fit,Ok,1,red
srh_I_2022-03-18T02:23:25_6200.fit,2022-03-18,02:23:25,https://ftp.rao.istp.ac.ru/SRH/SRH0612/cleanMaps/20220318/srh_I_2022-03-18T02:23:25_6200.fit,Ok,1,red
srh_I_2022-03-18T02:32:10_6200.fit,2022-03-18,02:32:10,https://ftp.rao.istp.ac.ru/SRH/SRH0612/cleanMaps/20220318/srh_I_2022-03-18T02:32:10_6200.fit,Bad,1,green
srh_I_2022-03-18T02:50:45_6200.fit,2022-03-18,02:50:45,https://ftp.rao.istp.ac.ru/SRH/SRH0612/cleanMaps/20220318/srh_I_2022-03-18T02:50:45_6200.fit,Bad,1,green
